0.499053 ,-0.304959
0.32737 ,-1.44058
0.180086 ,-1.31943
0.0464915 ,-2.38433
-0.0773336 ,-1.96798
-0.193107 ,-2.87835
-0.301584 ,-2.19286
-0.403033 ,-2.88116
-0.497447 ,-1.98062
-0.58466 ,-2.42496
-0.664416 ,-1.40466
-0.736409 ,-1.62992
-0.800311 ,-0.618385
-0.855797 ,-0.684867
-0.902561 ,0.174899
-0.94033 ,0.190431
-0.96887 ,0.767924
-0.988001 ,0.796147
-0.997597 ,0.999646
-0.997597 ,0.999646
-0.988 ,0.796136
-0.968869 ,0.767938
-0.940329 ,0.190401
-0.902561 ,0.174929
-0.855796 ,-0.685003
-0.80031 ,-0.61824
-0.736408 ,-1.63014
-0.664415 ,-1.40436
-0.584659 ,-2.42537
-0.497445 ,-1.98033
-0.403031 ,-2.8814
-0.301583 ,-2.19262
-0.193105 ,-2.87861
-0.0773317 ,-1.96775
0.0464933 ,-2.38459
0.180088 ,-1.31916
0.327373 ,-1.44082
0.499056 ,-0.304728
0.796495 ,0.0754645

LIFT COEFFICIENT = 0
